Congressional_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
3.0,2006,0,607,
3.0,2006,1,619,1.9769357495881383
3.0,2006,2,475,-23.263327948303715
3.0,2006,3,636,33.89473684210526
3.0,2007,0,654,2.8301886792452833
3.0,2007,1,692,5.81039755351682
3.0,2007,2,668,-3.4682080924855487
3.0,2007,3,596,-10.778443113772456
3.0,2008,0,612,2.684563758389262
3.0,2008,1,571,-6.699346405228758
3.0,2008,2,556,-2.626970227670753
3.0,2008,3,535,-3.776978417266187
3.0,2009,0,680,27.102803738317753
3.0,2009,1,650,-4.411764705882353
3.0,2009,2,545,-16.153846153846153
3.0,2009,3,579,6.238532110091743
3.0,2010,0,590,1.8998272884283247
3.0,2010,1,593,0.5084745762711864
3.0,2010,2,614,3.541315345699832
3.0,2010,3,565,-7.980456026058631
3.0,2011,0,595,5.3097345132743365
3.0,2011,1,677,13.781512605042018
3.0,2011,2,577,-14.771048744460858
3.0,2011,3,581,0.6932409012131715
3.0,2012,0,746,28.399311531841654
3.0,2012,1,662,-11.26005361930295
3.0,2012,2,579,-12.537764350453173
3.0,2012,3,538,-7.081174438687392
3.0,2013,0,710,31.970260223048324
3.0,2013,1,613,-13.661971830985916
3.0,2013,2,643,4.893964110929853
3.0,2013,3,724,12.597200622083982
3.0,2014,0,755,4.281767955801105
3.0,2014,1,748,-0.9271523178807948
3.0,2014,2,608,-18.71657754010695
3.0,2014,3,710,16.776315789473685
3.0,2015,0,604,-14.929577464788732
3.0,2015,1,588,-2.6490066225165565
3.0,2015,2,653,11.054421768707483
3.0,2015,3,602,-7.810107197549771
3.0,2016,0,615,2.1594684385382057
3.0,2016,1,667,8.455284552845528
3.0,2016,2,624,-6.446776611694154
3.0,2016,3,609,-2.403846153846154
3.0,2017,0,600,-1.477832512315271
3.0,2017,1,639,6.5
3.0,2017,2,565,-11.580594679186229
3.0,2017,3,609,7.787610619469026
3.0,2018,0,488,-19.868637110016422
3.0,2018,1,577,18.237704918032787
3.0,2018,2,617,6.932409012131716
3.0,2018,3,497,-19.448946515397083
3.0,2019,0,500,0.6036217303822937
3.0,2019,1,487,-2.6
3.0,2019,2,462,-5.133470225872689
3.0,2019,3,438,-5.194805194805195
3.0,2020,0,398,-9.1324200913242
3.0,2020,1,315,-20.85427135678392
3.0,2020,2,327,3.8095238095238098
3.0,2020,3,387,18.34862385321101
3.0,2021,0,363,-6.2015503875969
3.0,2021,1,314,-13.498622589531681
3.0,2021,2,405,28.980891719745223
3.0,2021,3,406,0.24691358024691357
3.0,2022,0,416,2.4630541871921183
3.0,2022,1,577,38.70192307692308
3.0,2022,2,529,-8.31889081455806
3.0,2022,3,447,-15.500945179584122
3.0,2023,0,506,13.19910514541387
3.0,2023,1,609,20.35573122529644
5.0,2006,0,6917,
5.0,2006,1,7248,4.785311551250542
5.0,2006,2,7078,-2.345474613686534
5.0,2006,3,6748,-4.662333992653292
5.0,2007,0,7575,12.255483106105512
5.0,2007,1,7603,0.3696369636963696
5.0,2007,2,7560,-0.565566223859003
5.0,2007,3,7165,-5.224867724867725
5.0,2008,0,8163,13.928820655966504
5.0,2008,1,7463,-8.575278696557637
5.0,2008,2,7679,2.894278440305507
5.0,2008,3,7291,-5.052741242349264
5.0,2009,0,8064,10.602112193114799
5.0,2009,1,8216,1.8849206349206349
5.0,2009,2,8304,1.071080817916261
5.0,2009,3,7507,-9.597784200385357
5.0,2010,0,7944,5.82123351538564
5.0,2010,1,8370,5.362537764350453
5.0,2010,2,7983,-4.623655913978494
5.0,2010,3,7242,-9.282224727546035
5.0,2011,0,7800,7.705053852526926
5.0,2011,1,8209,5.243589743589744
5.0,2011,2,7425,-9.550493360945305
5.0,2011,3,6979,-6.006734006734007
5.0,2012,0,8416,20.590342455939243
5.0,2012,1,8025,-4.645912547528517
5.0,2012,2,8508,6.018691588785047
5.0,2012,3,6433,-24.388810531264692
5.0,2013,0,8284,28.773511580910927
5.0,2013,1,8985,8.462095605987447
5.0,2013,2,8970,-0.1669449081803005
5.0,2013,3,8711,-2.887402452619844
5.0,2014,0,9368,7.542188038112731
5.0,2014,1,9196,-1.8360375747224593
5.0,2014,2,9613,4.534580252283601
5.0,2014,3,7547,-21.49172994902736
5.0,2015,0,7636,1.1792765337220088
5.0,2015,1,7791,2.0298585646935567
5.0,2015,2,8149,4.59504556539597
5.0,2015,3,7130,-12.504601791630876
5.0,2016,0,7460,4.628330995792426
5.0,2016,1,7364,-1.2868632707774799
5.0,2016,2,6541,-11.175991309071156
5.0,2016,3,6206,-5.121541048769301
5.0,2017,0,6582,6.058652916532388
5.0,2017,1,6348,-3.555150410209663
5.0,2017,2,5877,-7.4196597353497165
5.0,2017,3,5928,0.8677896886166412
5.0,2018,0,5899,-0.4892037786774629
5.0,2018,1,5664,-3.9837260552636042
5.0,2018,2,5604,-1.059322033898305
5.0,2018,3,5069,-9.546752319771592
5.0,2019,0,5211,2.8013414874728744
5.0,2019,1,5376,3.166378814047208
5.0,2019,2,5117,-4.817708333333334
5.0,2019,3,4309,-15.790502247410593
5.0,2020,0,4218,-2.111858899976793
5.0,2020,1,3017,-28.473210052157423
5.0,2020,2,2755,-8.684123301292674
5.0,2020,3,3291,19.45553539019964
5.0,2021,0,3470,5.439076268611364
5.0,2021,1,3315,-4.46685878962536
5.0,2021,2,3709,11.885369532428355
5.0,2021,3,3366,-9.247775680776488
5.0,2022,0,3645,8.288770053475936
5.0,2022,1,4126,13.19615912208505
5.0,2022,2,4276,3.6354823073194376
5.0,2022,3,4363,2.0346117867165576
5.0,2023,0,5162,18.31308732523493
5.0,2023,1,5700,10.42231693142193
6.0,2006,0,5260,
6.0,2006,1,4723,-10.209125475285171
6.0,2006,2,4218,-10.692356553038323
6.0,2006,3,4389,4.054054054054054
6.0,2007,0,4783,8.976987924356346
6.0,2007,1,4613,-3.554254651892118
6.0,2007,2,4572,-0.8887925428137872
6.0,2007,3,4164,-8.923884514435695
6.0,2008,0,4637,11.359269932756964
6.0,2008,1,4416,-4.766012508087125
6.0,2008,2,4206,-4.755434782608696
6.0,2008,3,4510,7.2277698525915355
6.0,2009,0,5072,12.46119733924612
6.0,2009,1,4863,-4.120662460567823
6.0,2009,2,4285,-11.885667283569813
6.0,2009,3,4168,-2.7304550758459745
6.0,2010,0,4601,10.388675623800383
6.0,2010,1,4792,4.151271462725494
6.0,2010,2,4246,-11.39398998330551
6.0,2010,3,4524,6.547338671691004
6.0,2011,0,4672,3.2714412024756854
6.0,2011,1,4796,2.654109589041096
6.0,2011,2,4026,-16.055045871559635
6.0,2011,3,4152,3.129657228017884
6.0,2012,0,4623,11.34393063583815
6.0,2012,1,4360,-5.688946571490374
6.0,2012,2,4211,-3.4174311926605507
6.0,2012,3,3870,-8.097838993113275
6.0,2013,0,4543,17.39018087855297
6.0,2013,1,4741,4.358353510895883
6.0,2013,2,4493,-5.230963931659987
6.0,2013,3,4285,-4.62942354774093
6.0,2014,0,4286,0.023337222870478413
6.0,2014,1,4632,8.0727951469902
6.0,2014,2,4491,-3.0440414507772022
6.0,2014,3,3995,-11.044310843910042
6.0,2015,0,3681,-7.859824780976219
6.0,2015,1,4136,12.360771529475686
6.0,2015,2,3926,-5.077369439071567
6.0,2015,3,3792,-3.413143148242486
6.0,2016,0,3568,-5.9071729957805905
6.0,2016,1,3592,0.672645739910314
6.0,2016,2,3449,-3.9810690423162582
6.0,2016,3,3518,2.000579878225573
6.0,2017,0,3525,0.1989766913018761
6.0,2017,1,3255,-7.659574468085106
6.0,2017,2,3068,-5.745007680491551
6.0,2017,3,3086,0.5867014341590613
6.0,2018,0,3057,-0.9397278029812054
6.0,2018,1,3114,1.8645731108930326
6.0,2018,2,3022,-2.954399486191394
6.0,2018,3,2744,-9.199205823957644
6.0,2019,0,2810,2.4052478134110786
6.0,2019,1,3000,6.761565836298933
6.0,2019,2,2681,-10.633333333333333
6.0,2019,3,2437,-9.101081685938082
6.0,2020,0,2213,-9.191629052113253
6.0,2020,1,1395,-36.96339810212381
6.0,2020,2,1592,14.121863799283155
6.0,2020,3,1805,13.379396984924623
6.0,2021,0,2120,17.451523545706372
6.0,2021,1,1870,-11.79245283018868
6.0,2021,2,2148,14.866310160427807
6.0,2021,3,2273,5.819366852886406
6.0,2022,0,2436,7.171139463264408
6.0,2022,1,2699,10.796387520525453
6.0,2022,2,2487,-7.854761022600963
6.0,2022,3,2702,8.644953759549658
6.0,2023,0,3134,15.988156920799407
6.0,2023,1,2964,-5.424377791959158
7.0,2006,0,7438,
7.0,2006,1,7501,0.8470018822264049
7.0,2006,2,7120,-5.079322756965738
7.0,2006,3,7302,2.556179775280899
7.0,2007,0,8050,10.243768830457409
7.0,2007,1,7813,-2.9440993788819876
7.0,2007,2,7607,-2.6366312555996414
7.0,2007,3,7222,-5.061127908505323
7.0,2008,0,7891,9.26336194959845
7.0,2008,1,8057,2.1036624002027624
7.0,2008,2,7675,-4.741218815936453
7.0,2008,3,7133,-7.061889250814332
7.0,2009,0,8128,13.949249964951631
7.0,2009,1,8222,1.156496062992126
7.0,2009,2,7823,-4.852833860374605
7.0,2009,3,7085,-9.433721078869999
7.0,2010,0,7847,10.755116443189838
7.0,2010,1,8366,6.6139926086402445
7.0,2010,2,7740,-7.48266794166866
7.0,2010,3,7844,1.3436692506459949
7.0,2011,0,8920,13.717491075981641
7.0,2011,1,8953,0.36995515695067266
7.0,2011,2,7797,-12.91187311515693
7.0,2011,3,7195,-7.720918301910991
7.0,2012,0,8731,21.348158443363445
7.0,2012,1,8379,-4.031611499255526
7.0,2012,2,7469,-10.86048454469507
7.0,2012,3,6373,-14.673985808006426
7.0,2013,0,7900,23.96045818295936
7.0,2013,1,8225,4.113924050632911
7.0,2013,2,7844,-4.632218844984803
7.0,2013,3,6894,-12.11116777154513
7.0,2014,0,7539,9.355961705831158
7.0,2014,1,7894,4.708847327231728
7.0,2014,2,7017,-11.109703572333418
7.0,2014,3,5883,-16.16075245831552
7.0,2015,0,5579,-5.167431582525922
7.0,2015,1,6199,11.11310270657824
7.0,2015,2,6149,-0.8065817067268913
7.0,2015,3,5485,-10.798503821759637
7.0,2016,0,5971,8.86052871467639
7.0,2016,1,5855,-1.9427231619494223
7.0,2016,2,5172,-11.665243381725022
7.0,2016,3,4995,-3.4222737819025526
7.0,2017,0,5237,4.844844844844845
7.0,2017,1,5458,4.219973267137674
7.0,2017,2,5187,-4.965188713814584
7.0,2017,3,4937,-4.819741661846924
7.0,2018,0,4759,-3.6054283978124366
7.0,2018,1,4334,-8.930447573019542
7.0,2018,2,4061,-6.299030918320259
7.0,2018,3,3739,-7.929081507017976
7.0,2019,0,3807,1.8186680930730144
7.0,2019,1,3764,-1.12949829261886
7.0,2019,2,3786,0.5844845908607864
7.0,2019,3,3133,-17.247754886423667
7.0,2020,0,3039,-3.000319182891797
7.0,2020,1,2018,-33.596577821651856
7.0,2020,2,2080,3.072348860257681
7.0,2020,3,2681,28.894230769230766
7.0,2021,0,2856,6.527415143603134
7.0,2021,1,2552,-10.644257703081232
7.0,2021,2,3013,18.064263322884013
7.0,2021,3,2824,-6.272817789578493
7.0,2022,0,3292,16.572237960339944
7.0,2022,1,3634,10.388821385176184
7.0,2022,2,3589,-1.2383048981838194
7.0,2022,3,3628,1.0866536639732516
7.0,2023,0,3922,8.103638368246969
7.0,2023,1,4137,5.481896991330953
8.0,2006,0,9640,
8.0,2006,1,9864,2.323651452282158
8.0,2006,2,9740,-1.257096512570965
8.0,2006,3,9768,0.2874743326488706
8.0,2007,0,10724,9.787059787059787
8.0,2007,1,10873,1.3894069377098097
8.0,2007,2,11655,7.192127287777063
8.0,2007,3,10308,-11.557271557271557
8.0,2008,0,11308,9.701202949165696
8.0,2008,1,10767,-4.7842235585426245
8.0,2008,2,10627,-1.300269341506455
8.0,2008,3,10274,-3.3217276747906275
8.0,2009,0,12047,17.25715398092272
8.0,2009,1,12390,2.8471818710052292
8.0,2009,2,12699,2.4939467312348667
8.0,2009,3,11270,-11.252854555476809
8.0,2010,0,11892,5.51907719609583
8.0,2010,1,12746,7.181298351833165
8.0,2010,2,12302,-3.4834457869135416
8.0,2010,3,11013,-10.477971061615996
8.0,2011,0,11798,7.127939707618269
8.0,2011,1,12653,7.246991015426343
8.0,2011,2,12709,0.44258278669090334
8.0,2011,3,10998,-13.462900306869146
8.0,2012,0,12690,15.384615384615385
8.0,2012,1,12344,-2.72655634357762
8.0,2012,2,12267,-0.6237848347375243
8.0,2012,3,9289,-24.276514225156927
8.0,2013,0,11382,22.532027128862094
8.0,2013,1,11904,4.586188719030047
8.0,2013,2,11422,-4.049059139784946
8.0,2013,3,10064,-11.889336368411838
8.0,2014,0,10469,4.024244833068362
8.0,2014,1,11513,9.97229916897507
8.0,2014,2,12078,4.907495874229132
8.0,2014,3,8628,-28.56433184302037
8.0,2015,0,8833,2.3759851645804355
8.0,2015,1,9849,11.502320842295937
8.0,2015,2,10089,2.436795613767895
8.0,2015,3,8204,-18.683714937060163
8.0,2016,0,8874,8.166747927840078
8.0,2016,1,8581,-3.301780482307866
8.0,2016,2,8424,-1.8296235869945228
8.0,2016,3,7545,-10.434472934472934
8.0,2017,0,7445,-1.325381047051027
8.0,2017,1,7450,0.0671591672263264
8.0,2017,2,7342,-1.4496644295302012
8.0,2017,3,6502,-11.441024244075184
8.0,2018,0,6729,3.491233466625654
8.0,2018,1,6749,0.2972209838014564
8.0,2018,2,6354,-5.852718921321677
8.0,2018,3,5280,-16.902738432483474
8.0,2019,0,5546,5.037878787878788
8.0,2019,1,5551,0.09015506671474938
8.0,2019,2,5428,-2.2158169699153305
8.0,2019,3,4494,-17.20707442888725
8.0,2020,0,4451,-0.9568313306631064
8.0,2020,1,3072,-30.981801842282636
8.0,2020,2,3012,-1.953125
8.0,2020,3,3867,28.386454183266935
8.0,2021,0,3923,1.4481510214636668
8.0,2021,1,3534,-9.915880703543205
8.0,2021,2,3945,11.62988115449915
8.0,2021,3,3816,-3.269961977186312
8.0,2022,0,4426,15.985324947589099
8.0,2022,1,5122,15.725259828287394
8.0,2022,2,4717,-7.907067551737603
8.0,2022,3,4841,2.6287894848420605
8.0,2023,0,5725,18.26068994009502
8.0,2023,1,6067,5.973799126637554
9.0,2006,0,6442,
9.0,2006,1,6570,1.9869605712511642
9.0,2006,2,6620,0.76103500761035
9.0,2006,3,6139,-7.265861027190332
9.0,2007,0,7327,19.351685942335887
9.0,2007,1,7201,-1.7196669851235156
9.0,2007,2,7305,1.444243855020136
9.0,2007,3,6500,-11.019849418206707
9.0,2008,0,7356,13.169230769230769
9.0,2008,1,6608,-10.168569874932027
9.0,2008,2,6429,-2.7088377723970947
9.0,2008,3,6013,-6.47067973246228
9.0,2009,0,7375,22.650923000166305
9.0,2009,1,7086,-3.91864406779661
9.0,2009,2,7091,0.07056167090036691
9.0,2009,3,6550,-7.6293893668029895
9.0,2010,0,7297,11.404580152671755
9.0,2010,1,7877,7.948471974784158
9.0,2010,2,7078,-10.14345563031611
9.0,2010,3,6754,-4.577564283695959
9.0,2011,0,7066,4.619484749777909
9.0,2011,1,7312,3.4814605151429383
9.0,2011,2,7098,-2.9266958424507656
9.0,2011,3,6491,-8.55170470555086
9.0,2012,0,7586,16.869511631489758
9.0,2012,1,6972,-8.093857105193777
9.0,2012,2,7015,0.6167527251864601
9.0,2012,3,5476,-21.938702779757662
9.0,2013,0,6472,18.18845872899927
9.0,2013,1,6881,6.319530284301607
9.0,2013,2,6780,-1.4678099113500944
9.0,2013,3,6503,-4.0855457227138645
9.0,2014,0,6859,5.4743964324158085
9.0,2014,1,7210,5.117364047237206
9.0,2014,2,7450,3.3287101248266295
9.0,2014,3,5776,-22.469798657718123
9.0,2015,0,5737,-0.6752077562326869
9.0,2015,1,6407,11.678577653826041
9.0,2015,2,6277,-2.0290307476197906
9.0,2015,3,5455,-13.095427752110881
9.0,2016,0,5781,5.976168652612282
9.0,2016,1,5474,-5.310499913509773
9.0,2016,2,5133,-6.229448301059555
9.0,2016,3,5246,2.2014416520553284
9.0,2017,0,5357,2.115897826915745
9.0,2017,1,4993,-6.79484786260967
9.0,2017,2,4668,-6.509112757861005
9.0,2017,3,5036,7.883461868037704
9.0,2018,0,5222,3.6934074662430505
9.0,2018,1,4449,-14.802757564151667
9.0,2018,2,4244,-4.6077770285457404
9.0,2018,3,4013,-5.442978322337417
9.0,2019,0,4115,2.541739347121854
9.0,2019,1,3968,-3.572296476306197
9.0,2019,2,3745,-5.619959677419355
9.0,2019,3,3220,-14.018691588785046
9.0,2020,0,3111,-3.3850931677018634
9.0,2020,1,2066,-33.59048537447766
9.0,2020,2,2106,1.9361084220716358
9.0,2020,3,2664,26.495726495726498
9.0,2021,0,2782,4.42942942942943
9.0,2021,1,2588,-6.9734004313443565
9.0,2021,2,2818,8.887171561051005
9.0,2021,3,2755,-2.2356281050390345
9.0,2022,0,3081,11.833030852994556
9.0,2022,1,3234,4.965920155793573
9.0,2022,2,3035,-6.153370439084725
9.0,2022,3,3200,5.436573311367381
9.0,2023,0,3686,15.187500000000002
9.0,2023,1,3760,2.0075963103635375
10.0,2006,0,8898,
10.0,2006,1,8940,0.4720161834120027
10.0,2006,2,9002,0.6935123042505592
10.0,2006,3,8315,-7.631637413908019
10.0,2007,0,9323,12.122669873722188
10.0,2007,1,9328,0.05363080553469913
10.0,2007,2,9232,-1.0291595197255576
10.0,2007,3,8709,-5.665077989601387
10.0,2008,0,9313,6.935354231255024
10.0,2008,1,9338,0.26844196284763233
10.0,2008,2,8999,-3.630327693296209
10.0,2008,3,8812,-2.0780086676297365
10.0,2009,0,9859,11.881525192918748
10.0,2009,1,9864,0.05071508266558474
10.0,2009,2,9287,-5.84955393349554
10.0,2009,3,8932,-3.8225476472488427
10.0,2010,0,9731,8.945364979847739
10.0,2010,1,10181,4.6243962593772485
10.0,2010,2,9566,-6.0406639819271195
10.0,2010,3,9331,-2.4566171858666106
10.0,2011,0,9422,0.9752438109527383
10.0,2011,1,10442,10.825727021863724
10.0,2011,2,9205,-11.846389580540126
10.0,2011,3,9997,8.604019554589897
10.0,2012,0,10041,0.4401320396118836
10.0,2012,1,10124,0.8266108953291504
10.0,2012,2,10205,0.8000790201501382
10.0,2012,3,7814,-23.4296913277805
10.0,2013,0,9026,15.510621960583567
10.0,2013,1,9720,7.688898736982051
10.0,2013,2,9374,-3.5596707818930042
10.0,2013,3,8632,-7.915510987838703
10.0,2014,0,9110,5.537534754402224
10.0,2014,1,9699,6.465422612513722
10.0,2014,2,9220,-4.938653469429838
10.0,2014,3,7954,-13.731019522776572
10.0,2015,0,7982,0.35202413879808897
10.0,2015,1,8462,6.01353044349787
10.0,2015,2,8824,4.277948475537698
10.0,2015,3,8052,-8.748866727107888
10.0,2016,0,8300,3.0799801291604574
