Congressional_District,ARREST_YEAR,ARREST_QUARTER,#_ARRESTS,ARREST_CHANGE
10.0,2016,1,8251,-0.5903614457831325
10.0,2016,2,7715,-6.496182280935645
10.0,2016,3,8015,3.888528839922229
10.0,2017,0,8107,1.1478477854023705
10.0,2017,1,7988,-1.4678672751942765
10.0,2017,2,7491,-6.221832749123686
10.0,2017,3,7305,-2.482979575490589
10.0,2018,0,7663,4.900752908966461
10.0,2018,1,6778,-11.549001696463526
10.0,2018,2,5936,-12.422543523163174
10.0,2018,3,5803,-2.240566037735849
10.0,2019,0,5995,3.3086334654489056
10.0,2019,1,5916,-1.317764804003336
10.0,2019,2,5798,-1.9945909398242054
10.0,2019,3,5011,-13.573646084856847
10.0,2020,0,4802,-4.170824186789064
10.0,2020,1,3087,-35.714285714285715
10.0,2020,2,2566,-16.877227081308714
10.0,2020,3,3410,32.891660171473106
10.0,2021,0,3588,5.219941348973607
10.0,2021,1,3522,-1.839464882943144
10.0,2021,2,3989,13.259511641113003
10.0,2021,3,4130,3.53472048132364
10.0,2022,0,4209,1.9128329297820823
10.0,2022,1,4872,15.751960085531005
10.0,2022,2,4781,-1.8678160919540232
10.0,2022,3,4726,-1.150386948337168
10.0,2023,0,5341,13.0131189166314
10.0,2023,1,5473,2.4714472945141357
11.0,2006,0,3825,
11.0,2006,1,4142,8.287581699346406
11.0,2006,2,4112,-0.724287783679382
11.0,2006,3,3850,-6.371595330739299
11.0,2007,0,4144,7.636363636363637
11.0,2007,1,4041,-2.4855212355212353
11.0,2007,2,4109,1.682751794110369
11.0,2007,3,4058,-1.241177902165977
11.0,2008,0,4533,11.705273533760472
11.0,2008,1,4969,9.618354290756672
11.0,2008,2,4827,-2.85771785067418
11.0,2008,3,4633,-4.0190594572198055
11.0,2009,0,4839,4.446363047701273
11.0,2009,1,4687,-3.141144864641455
11.0,2009,2,4152,-11.41455088542778
11.0,2009,3,4298,3.5163776493256265
11.0,2010,0,4471,4.025127966496045
11.0,2010,1,4838,8.20845448445538
11.0,2010,2,4406,-8.929309632079372
11.0,2010,3,4338,-1.5433499773036767
11.0,2011,0,4569,5.325034578146611
11.0,2011,1,4852,6.193915517618735
11.0,2011,2,4082,-15.869744435284419
11.0,2011,3,4097,0.3674669279764821
11.0,2012,0,4696,14.620453990724922
11.0,2012,1,4209,-10.37052810902896
11.0,2012,2,4189,-0.4751722499406035
11.0,2012,3,3392,-19.026020529959418
11.0,2013,0,3894,14.799528301886792
11.0,2013,1,4049,3.980482794042116
11.0,2013,2,4221,4.247962459866634
11.0,2013,3,4043,-4.217010187159441
11.0,2014,0,4557,12.713331684392779
11.0,2014,1,4863,6.7149440421329825
11.0,2014,2,4081,-16.080608677770925
11.0,2014,3,3725,-8.723352119578534
11.0,2015,0,3629,-2.577181208053691
11.0,2015,1,3777,4.078258473408653
11.0,2015,2,3802,0.6619009796134498
11.0,2015,3,3570,-6.102051551814834
11.0,2016,0,3990,11.76470588235294
11.0,2016,1,4170,4.511278195488721
11.0,2016,2,4169,-0.023980815347721823
11.0,2016,3,3947,-5.325017989925642
11.0,2017,0,3775,-4.357740055738535
11.0,2017,1,3993,5.774834437086093
11.0,2017,2,3903,-2.2539444027047333
11.0,2017,3,3480,-10.837817063797079
11.0,2018,0,3388,-2.6436781609195403
11.0,2018,1,3428,1.1806375442739079
11.0,2018,2,3370,-1.691948658109685
11.0,2018,3,3119,-7.448071216617211
11.0,2019,0,3348,7.342096825905739
11.0,2019,1,3050,-8.900836320191159
11.0,2019,2,2934,-3.8032786885245904
11.0,2019,3,2516,-14.246762099522837
11.0,2020,0,2469,-1.8680445151033387
11.0,2020,1,1649,-33.211826650465774
11.0,2020,2,1669,1.2128562765312312
11.0,2020,3,2209,32.354703415218694
11.0,2021,0,2481,12.313263920325939
11.0,2021,1,2094,-15.598548972188633
11.0,2021,2,2352,12.320916905444127
11.0,2021,3,2401,2.083333333333333
11.0,2022,0,2537,5.664306538942107
11.0,2022,1,2854,12.495072920772566
11.0,2022,2,2629,-7.883672039243167
11.0,2022,3,2714,3.2331685051350325
11.0,2023,0,3076,13.338246131171703
11.0,2023,1,3363,9.330299089726918
12.0,2006,0,8505,
12.0,2006,1,9193,8.08935920047031
12.0,2006,2,9333,1.5228978570651581
12.0,2006,3,9185,-1.585770920390014
12.0,2007,0,10078,9.722373434948285
12.0,2007,1,9787,-2.8874776741416945
12.0,2007,2,9470,-3.2389904975988557
12.0,2007,3,8844,-6.610348468848996
12.0,2008,0,9391,6.184984170058797
12.0,2008,1,9003,-4.131615376424236
12.0,2008,2,9342,3.76541152949017
12.0,2008,3,9297,-0.48169556840077066
12.0,2009,0,10406,11.928579111541357
12.0,2009,1,9766,-6.150297905054776
12.0,2009,2,9239,-5.396272783125128
12.0,2009,3,9399,1.7317891546704187
12.0,2010,0,9971,6.085753803596127
12.0,2010,1,9807,-1.6447698325142912
12.0,2010,2,9938,1.3357805649026206
12.0,2010,3,9272,-6.701549607566914
12.0,2011,0,9711,4.734685073339085
12.0,2011,1,10147,4.489753887344248
12.0,2011,2,8743,-13.83660195131566
12.0,2011,3,9386,7.35445499256548
12.0,2012,0,9533,1.5661623694864693
12.0,2012,1,9286,-2.590999685303682
12.0,2012,2,9556,2.9076028429894465
12.0,2012,3,8647,-9.512348262871495
12.0,2013,0,9873,14.178327743726149
12.0,2013,1,9919,0.46591714777676496
12.0,2013,2,9264,-6.603488254864402
12.0,2013,3,9646,4.123488773747841
12.0,2014,0,10145,5.1731287580344185
12.0,2014,1,10527,3.7654016757023165
12.0,2014,2,9963,-5.3576517526360785
12.0,2014,3,8425,-15.437117334136305
12.0,2015,0,8523,1.1632047477744807
12.0,2015,1,8895,4.3646603308694125
12.0,2015,2,9359,5.216413715570545
12.0,2015,3,8644,-7.639705096698365
12.0,2016,0,8881,2.7417862100879224
12.0,2016,1,7906,-10.978493412903951
12.0,2016,2,7145,-9.625600809511763
12.0,2016,3,7154,0.12596221133659902
12.0,2017,0,7149,-0.06989097008666481
12.0,2017,1,7386,3.31514897188418
12.0,2017,2,7171,-2.9109125372326026
12.0,2017,3,7212,0.5717473155766281
12.0,2018,0,6854,-4.963948973932335
12.0,2018,1,6021,-12.15348701488182
12.0,2018,2,5665,-5.912639096495599
12.0,2018,3,5359,-5.401588702559576
12.0,2019,0,5304,-1.0263108788953164
12.0,2019,1,5235,-1.3009049773755657
12.0,2019,2,4946,-5.5205348615090735
12.0,2019,3,4495,-9.118479579458148
12.0,2020,0,4032,-10.300333704115685
12.0,2020,1,2203,-45.36210317460318
12.0,2020,2,2182,-0.9532455742169769
12.0,2020,3,3113,42.66727772685609
12.0,2021,0,3380,8.576935432059107
12.0,2021,1,3265,-3.4023668639053253
12.0,2021,2,4006,22.695252679938744
12.0,2021,3,4412,10.134797803295058
12.0,2022,0,4303,-2.470534904805077
12.0,2022,1,4780,11.085289333023471
12.0,2022,2,4656,-2.594142259414226
12.0,2022,3,4847,4.102233676975945
12.0,2023,0,4837,-0.20631318341242005
12.0,2023,1,5405,11.742815794914204
13.0,2006,0,15097,
13.0,2006,1,14214,-5.84884414122011
13.0,2006,2,14731,3.637259040382721
13.0,2006,3,14841,0.746724594392777
13.0,2007,0,18358,23.697864025335218
13.0,2007,1,16080,-12.408759124087592
13.0,2007,2,16041,-0.2425373134328358
13.0,2007,3,15355,-4.276541362757933
13.0,2008,0,18228,18.710517746662326
13.0,2008,1,16646,-8.678955453149001
13.0,2008,2,15485,-6.974648564219632
13.0,2008,3,15111,-2.4152405553761707
13.0,2009,0,18173,20.263384289590363
13.0,2009,1,17331,-4.633247124855555
13.0,2009,2,16098,-7.114419248745023
13.0,2009,3,15599,-3.0997639458317803
13.0,2010,0,17054,9.327520994935574
13.0,2010,1,17387,1.9526210859622375
13.0,2010,2,15740,-9.472594467130614
13.0,2010,3,15279,-2.928843710292249
13.0,2011,0,16667,9.084364159958112
13.0,2011,1,16248,-2.51394972100558
13.0,2011,2,15098,-7.077794190054161
13.0,2011,3,14190,-6.014041594913234
13.0,2012,0,16771,18.188865398167724
13.0,2012,1,15448,-7.88861725597758
13.0,2012,2,15322,-0.8156395649922319
13.0,2012,3,12389,-19.142409607100902
13.0,2013,0,15231,22.93970457664057
13.0,2013,1,15119,-0.7353423938021141
13.0,2013,2,14697,-2.7911898935114756
13.0,2013,3,13534,-7.913179560454514
13.0,2014,0,14858,9.78276932170829
13.0,2014,1,15124,1.7902813299232736
13.0,2014,2,13627,-9.898175085956096
13.0,2014,3,11547,-15.263814485947016
13.0,2015,0,11627,0.6928206460552524
13.0,2015,1,11961,2.872624064677045
13.0,2015,2,12058,0.8109689825265446
13.0,2015,3,10396,-13.783380328412672
13.0,2016,0,11184,7.5798383993843785
13.0,2016,1,11206,0.19670958512160228
13.0,2016,2,10445,-6.791004818847046
13.0,2016,3,9867,-5.533748204882719
13.0,2017,0,9853,-0.14188709840883754
13.0,2017,1,9756,-0.9844717344971076
13.0,2017,2,9222,-5.4735547355473555
13.0,2017,3,9011,-2.2880069399262633
13.0,2018,0,9067,0.6214626567528576
13.0,2018,1,7631,-15.837653027462226
13.0,2018,2,7447,-2.4112174026995152
13.0,2018,3,6603,-11.333422854840876
13.0,2019,0,7164,8.496138119036802
13.0,2019,1,7056,-1.507537688442211
13.0,2019,2,6655,-5.683106575963719
13.0,2019,3,5875,-11.720510894064613
13.0,2020,0,5840,-0.5957446808510638
13.0,2020,1,3834,-34.349315068493155
13.0,2020,2,3202,-16.484089723526342
13.0,2020,3,4468,39.537788881948785
13.0,2021,0,5128,14.771709937332139
13.0,2021,1,4451,-13.202028081123245
13.0,2021,2,5168,16.10873960907661
13.0,2021,3,4778,-7.546439628482972
13.0,2022,0,5607,17.35035579740477
13.0,2022,1,5725,2.1045122168717674
13.0,2022,2,5655,-1.222707423580786
13.0,2022,3,5791,2.404951370468612
13.0,2023,0,6465,11.638749784147816
13.0,2023,1,6803,5.228151585460171
14.0,2006,0,8501,
14.0,2006,1,8292,-2.458534290083519
14.0,2006,2,8604,3.762662807525326
14.0,2006,3,7822,-9.088795908879591
14.0,2007,0,9469,21.055995908974687
14.0,2007,1,9699,2.428978772837681
14.0,2007,2,9300,-4.113826167646149
14.0,2007,3,8331,-10.419354838709676
14.0,2008,0,9524,14.320009602688751
14.0,2008,1,9522,-0.020999580008399833
14.0,2008,2,8830,-7.267380802352447
14.0,2008,3,8023,-9.13929784824462
14.0,2009,0,9764,21.700112177489718
14.0,2009,1,9477,-2.9393691110200737
14.0,2009,2,9202,-2.9017621610214204
14.0,2009,3,8630,-6.216039991306238
14.0,2010,0,9328,8.088064889918888
14.0,2010,1,9347,0.2036878216123499
14.0,2010,2,8778,-6.087514710602332
14.0,2010,3,8322,-5.194805194805195
14.0,2011,0,9609,15.465032444124008
14.0,2011,1,9768,1.6546987199500467
14.0,2011,2,8553,-12.438574938574938
14.0,2011,3,8502,-0.5962820063135742
14.0,2012,0,9805,15.325805692778168
14.0,2012,1,8224,-16.12442631310556
14.0,2012,2,8386,1.9698443579766536
14.0,2012,3,7006,-16.45599809205819
14.0,2013,0,7853,12.089637453611191
14.0,2013,1,8136,3.603718324207309
14.0,2013,2,7779,-4.387905604719764
14.0,2013,3,7289,-6.299010155546986
14.0,2014,0,8173,12.127863904513651
14.0,2014,1,8524,4.294628655328521
14.0,2014,2,8237,-3.3669638667292348
14.0,2014,3,6859,-16.729391768847883
14.0,2015,0,6745,-1.662049861495845
14.0,2015,1,7001,3.7954040029651597
14.0,2015,2,7347,4.94215112126839
14.0,2015,3,6535,-11.052130121137878
14.0,2016,0,6618,1.2700841622035195
14.0,2016,1,6923,4.608643094590511
14.0,2016,2,6565,-5.171168568539651
14.0,2016,3,6080,-7.387661843107388
14.0,2017,0,6287,3.4046052631578947
14.0,2017,1,6309,0.34992842373150945
14.0,2017,2,5870,-6.958313520367729
14.0,2017,3,5519,-5.9795570698466785
14.0,2018,0,5511,-0.14495379597753216
14.0,2018,1,5288,-4.0464525494465615
14.0,2018,2,5349,1.153555219364599
14.0,2018,3,4626,-13.51654514862591
14.0,2019,0,4907,6.074362300043234
14.0,2019,1,4591,-6.439779906256368
14.0,2019,2,4564,-0.5881071661947288
14.0,2019,3,3878,-15.030674846625766
14.0,2020,0,3902,0.6188757091284167
14.0,2020,1,2710,-30.54843669912865
14.0,2020,2,2673,-1.3653136531365315
14.0,2020,3,3538,32.360643471754585
14.0,2021,0,3348,-5.370265686828716
14.0,2021,1,2932,-12.425328554360812
14.0,2021,2,3500,19.37244201909959
14.0,2021,3,3442,-1.657142857142857
14.0,2022,0,3929,14.148750726321907
14.0,2022,1,4495,14.405701196233139
14.0,2022,2,4116,-8.431590656284762
14.0,2022,3,4489,9.062196307094267
14.0,2023,0,4895,9.044330585876587
14.0,2023,1,5235,6.945863125638406
15.0,2006,0,12116,
15.0,2006,1,11515,-4.96038296467481
15.0,2006,2,11302,-1.849761181068172
15.0,2006,3,11359,0.5043355158379048
15.0,2007,0,14086,24.007395017167006
15.0,2007,1,12982,-7.837569217662928
15.0,2007,2,13001,0.14635649360653213
15.0,2007,3,12131,-6.691792939004692
15.0,2008,0,14454,19.14928695078724
15.0,2008,1,13410,-7.22291407222914
15.0,2008,2,12335,-8.016405667412378
15.0,2008,3,12329,-0.048642075395216866
15.0,2009,0,14776,19.847513991402383
15.0,2009,1,14270,-3.4244721169464
15.0,2009,2,14465,1.3665031534688157
15.0,2009,3,14130,-2.3159350155547873
15.0,2010,0,15215,7.678697806086341
15.0,2010,1,15972,4.97535326979954
15.0,2010,2,15341,-3.950663661407463
15.0,2010,3,14044,-8.45446841796493
15.0,2011,0,15395,9.619766448305327
15.0,2011,1,14859,-3.4816498863267293
15.0,2011,2,12889,-13.257958139847903
15.0,2011,3,13345,3.5379005353402126
15.0,2012,0,15045,12.738853503184714
15.0,2012,1,13276,-11.758059155865736
15.0,2012,2,12498,-5.86019885507683
15.0,2012,3,11049,-11.593855016802689
15.0,2013,0,12858,16.372522400217214
15.0,2013,1,13144,2.224296158033909
15.0,2013,2,12721,-3.2181984175289107
15.0,2013,3,11983,-5.801430705133244
15.0,2014,0,13002,8.503713594258533
15.0,2014,1,13029,0.2076603599446239
15.0,2014,2,13280,1.9264717169391359
15.0,2014,3,11057,-16.739457831325304
15.0,2015,0,11027,-0.2713213349009677
15.0,2015,1,11158,1.1879931078262447
15.0,2015,2,12597,12.896576447392006
15.0,2015,3,10926,-13.26506311026435
15.0,2016,0,10835,-0.832875709317225
15.0,2016,1,10751,-0.7752653437932626
15.0,2016,2,10373,-3.515952004464701
15.0,2016,3,9782,-5.697483852308879
15.0,2017,0,9876,0.9609486812512777
15.0,2017,1,9100,-7.857432158768732
15.0,2017,2,8922,-1.9560439560439562
15.0,2017,3,8577,-3.86684599865501
15.0,2018,0,8565,-0.13990905911157747
15.0,2018,1,8171,-4.600116754232341
15.0,2018,2,8356,2.2641047607391993
15.0,2018,3,7430,-11.081857348013404
15.0,2019,0,8018,7.913862718707941
15.0,2019,1,7546,-5.886754801696183
15.0,2019,2,7499,-0.6228465412138882
15.0,2019,3,6326,-15.642085611414855
15.0,2020,0,5824,-7.935504268099905
15.0,2020,1,4217,-27.59271978021978
15.0,2020,2,3967,-5.9283851078966086
15.0,2020,3,4945,24.65339047138896
15.0,2021,0,5122,3.5793731041456014
15.0,2021,1,4161,-18.762202264740335
15.0,2021,2,5378,29.247776976688293
15.0,2021,3,5073,-5.671253253997769
15.0,2022,0,5691,12.18214074512123
15.0,2022,1,6287,10.472676155332982
15.0,2022,2,6379,1.4633370446954033
15.0,2022,3,6811,6.772221351308982
15.0,2023,0,7267,6.695052121568051
15.0,2023,1,7763,6.825374982798954
16.0,2006,0,891,
16.0,2006,1,723,-18.855218855218855
16.0,2006,2,834,15.352697095435685
16.0,2006,3,730,-12.470023980815348
16.0,2007,0,999,36.84931506849315
16.0,2007,1,991,-0.8008008008008007
16.0,2007,2,1146,15.640766902119072
16.0,2007,3,908,-20.76788830715532
16.0,2008,0,1100,21.145374449339208
16.0,2008,1,1028,-6.545454545454546
16.0,2008,2,1211,17.801556420233464
16.0,2008,3,1059,-12.551610239471511
16.0,2009,0,1081,2.0774315391879132
16.0,2009,1,958,-11.378353376503238
16.0,2009,2,1014,5.845511482254697
16.0,2009,3,921,-9.171597633136095
16.0,2010,0,1028,11.617806731813246
16.0,2010,1,1006,-2.140077821011673
16.0,2010,2,978,-2.783300198807157
16.0,2010,3,833,-14.826175869120656
16.0,2011,0,972,16.686674669867948
16.0,2011,1,892,-8.23045267489712
16.0,2011,2,874,-2.0179372197309418
16.0,2011,3,866,-0.9153318077803204
16.0,2012,0,908,4.849884526558892
16.0,2012,1,943,3.854625550660793
16.0,2012,2,948,0.5302226935312832
16.0,2012,3,1008,6.329113924050633
16.0,2013,0,953,-5.4563492063492065
16.0,2013,1,920,-3.4627492130115427
16.0,2013,2,1008,9.565217391304348
16.0,2013,3,950,-5.753968253968254
16.0,2014,0,780,-17.894736842105264
16.0,2014,1,1126,44.35897435897436
16.0,2014,2,1093,-2.930728241563055
16.0,2014,3,877,-19.76212259835316
16.0,2015,0,818,-6.727480045610035
16.0,2015,1,1059,29.462102689486553
16.0,2015,2,1022,-3.493862134088763
16.0,2015,3,723,-29.256360078277886
16.0,2016,0,885,22.40663900414938
16.0,2016,1,813,-8.135593220338983
16.0,2016,2,812,-0.12300123001230012
16.0,2016,3,818,0.7389162561576355
16.0,2017,0,800,-2.2004889975550124
16.0,2017,1,830,3.75
16.0,2017,2,830,0.0
16.0,2017,3,809,-2.5301204819277108
16.0,2018,0,866,7.045735475896168
16.0,2018,1,771,-10.969976905311778
16.0,2018,2,748,-2.9831387808041505
16.0,2018,3,675,-9.759358288770054
16.0,2019,0,730,8.148148148148149
16.0,2019,1,654,-10.41095890410959
16.0,2019,2,701,7.186544342507645
16.0,2019,3,520,-25.82025677603424
16.0,2020,0,523,0.576923076923077
16.0,2020,1,376,-28.107074569789674
16.0,2020,2,462,22.872340425531913
16.0,2020,3,661,43.073593073593074
16.0,2021,0,578,-12.556732223903177
16.0,2021,1,498,-13.84083044982699
16.0,2021,2,631,26.706827309236946
16.0,2021,3,534,-15.372424722662439
16.0,2022,0,628,17.60299625468165
16.0,2022,1,623,-0.7961783439490446
16.0,2022,2,557,-10.593900481540931
16.0,2022,3,581,4.308797127468582
16.0,2023,0,568,-2.2375215146299485
16.0,2023,1,707,24.471830985915492
