Police_Precinct,ARREST_YEAR,#_ARRESTS,ARREST_CHANGE
66.0,2021,1094,15.889830508474576
66.0,2022,1434,31.078610603290674
66.0,2023,719,-49.860529986052995
67.0,2006,6299,
67.0,2007,6824,8.334656294649944
67.0,2008,5985,-12.294841735052756
67.0,2009,6726,12.380952380952381
67.0,2010,6198,-7.850133809099019
67.0,2011,6242,0.7099064214262665
67.0,2012,7015,12.383851329702019
67.0,2013,6615,-5.702066999287242
67.0,2014,7080,7.029478458049887
67.0,2015,6379,-9.901129943502825
67.0,2016,5530,-13.309296127919737
67.0,2017,4830,-12.658227848101266
67.0,2018,4516,-6.50103519668737
67.0,2019,3855,-14.636846767050487
67.0,2020,2498,-35.20103761348898
67.0,2021,2916,16.733386709367494
67.0,2022,3132,7.4074074074074066
67.0,2023,2034,-35.05747126436782
68.0,2006,2013,
68.0,2007,2308,14.654744162940883
68.0,2008,2249,-2.55632582322357
68.0,2009,2481,10.315695864828813
68.0,2010,2544,2.539298669891173
68.0,2011,2366,-6.99685534591195
68.0,2012,2117,-10.524091293322064
68.0,2013,2316,9.40009447331129
68.0,2014,2349,1.4248704663212435
68.0,2015,2149,-8.514261387824607
68.0,2016,2640,22.847836202885063
68.0,2017,2893,9.583333333333334
68.0,2018,2507,-13.342550985136537
68.0,2019,2063,-17.710410849621063
68.0,2020,1379,-33.15559864275327
68.0,2021,1455,5.511240029006526
68.0,2022,1528,5.017182130584192
68.0,2023,1080,-29.31937172774869
69.0,2006,2773,
69.0,2007,2923,5.409304002884962
69.0,2008,2866,-1.9500513171399245
69.0,2009,2742,-4.326587578506629
69.0,2010,3004,9.555069292487236
69.0,2011,3146,4.727030625832223
69.0,2012,3216,2.2250476795931338
69.0,2013,3125,-2.8296019900497513
69.0,2014,3738,19.616
69.0,2015,2961,-20.786516853932586
69.0,2016,2811,-5.065856129685916
69.0,2017,2816,0.17787264318747778
69.0,2018,2191,-22.194602272727273
69.0,2019,1509,-31.12733911455956
69.0,2020,1030,-31.7428760768721
69.0,2021,1364,32.42718446601941
69.0,2022,1766,29.472140762463344
69.0,2023,954,-45.97961494903737
70.0,2006,5199,
70.0,2007,5719,10.001923446816697
70.0,2008,5640,-1.381360377688407
70.0,2009,5816,3.120567375886525
70.0,2010,6257,7.582530949105914
70.0,2011,5498,-12.130413936391243
70.0,2012,5094,-7.348126591487814
70.0,2013,5128,0.6674519042010209
70.0,2014,5335,4.036661466458658
70.0,2015,4350,-18.46298031865042
70.0,2016,3806,-12.50574712643678
70.0,2017,4005,5.228586442459275
70.0,2018,3810,-4.868913857677903
70.0,2019,2974,-21.942257217847768
70.0,2020,1924,-35.305985205110964
70.0,2021,1993,3.5862785862785866
70.0,2022,2408,20.822880080280985
70.0,2023,1351,-43.895348837209305
71.0,2006,4651,
71.0,2007,5264,13.179961298645454
71.0,2008,4675,-11.189209726443769
71.0,2009,4964,6.181818181818182
71.0,2010,5441,9.609186140209507
71.0,2011,5173,-4.9255651534644365
71.0,2012,4557,-11.907983761840326
71.0,2013,4702,3.1819179284617074
71.0,2014,4759,1.2122501063377287
71.0,2015,4421,-7.102332422777895
71.0,2016,4011,-9.273919927618186
71.0,2017,3564,-11.144353029169784
71.0,2018,2973,-16.58249158249158
71.0,2019,2467,-17.01984527413387
71.0,2020,1433,-41.9132549655452
71.0,2021,1791,24.982554082344734
71.0,2022,2080,16.136236739251814
71.0,2023,1189,-42.83653846153846
72.0,2006,4245,
72.0,2007,4440,4.593639575971731
72.0,2008,4110,-7.4324324324324325
72.0,2009,3850,-6.326034063260341
72.0,2010,4051,5.220779220779221
72.0,2011,3672,-9.3557146383609
72.0,2012,3648,-0.6535947712418301
72.0,2013,3621,-0.7401315789473684
72.0,2014,3697,2.098867716100525
72.0,2015,3239,-12.38842304571274
72.0,2016,3397,4.878048780487805
72.0,2017,3869,13.89461289372976
72.0,2018,3336,-13.776169552856036
72.0,2019,3199,-4.106714628297362
72.0,2020,2059,-35.63613629259144
72.0,2021,2089,1.4570179698882952
72.0,2022,2424,16.036381043561512
72.0,2023,1430,-41.006600660066006
73.0,2006,8796,
73.0,2007,10057,14.336061846293772
73.0,2008,9929,-1.2727453514964702
73.0,2009,11364,14.452613556249371
73.0,2010,11666,2.6575149595212952
73.0,2011,12742,9.22338419338248
73.0,2012,11687,-8.279704912886517
73.0,2013,10248,-12.31282621716437
73.0,2014,9813,-4.244730679156908
73.0,2015,8380,-14.603077550188527
73.0,2016,7462,-10.954653937947494
73.0,2017,5934,-20.47708389171804
73.0,2018,5249,-11.543646781260533
73.0,2019,4233,-19.35606782244237
73.0,2020,2686,-36.54618473895582
73.0,2021,2508,-6.626954579300075
73.0,2022,3788,51.03668261562998
73.0,2023,2556,-32.52375923970433
75.0,2006,12275,
75.0,2007,13190,7.4541751527494915
75.0,2008,13685,3.7528430629264595
75.0,2009,15176,10.895140664961637
75.0,2010,15272,0.632577754348972
75.0,2011,15622,2.291775798847564
75.0,2012,15180,-2.829343233900909
75.0,2013,14580,-3.9525691699604746
75.0,2014,13810,-5.2812071330589845
75.0,2015,11851,-14.185372918175235
75.0,2016,10183,-14.074761623491689
75.0,2017,8173,-19.738780320141412
75.0,2018,6714,-17.851462131408297
75.0,2019,6052,-9.859994042299672
75.0,2020,3792,-37.343027098479844
75.0,2021,4278,12.81645569620253
75.0,2022,5657,32.234689107059374
75.0,2023,3632,-35.79635849390136
76.0,2006,2649,
76.0,2007,2322,-12.344280860702153
76.0,2008,2209,-4.866494401378122
76.0,2009,2139,-3.168854685377999
76.0,2010,2054,-3.973819541841982
76.0,2011,1838,-10.516066212268745
76.0,2012,2194,19.368879216539717
76.0,2013,1830,-16.590701914311758
76.0,2014,1737,-5.081967213114754
76.0,2015,1611,-7.253886010362693
76.0,2016,2257,40.09931719428926
76.0,2017,2382,5.5383252104563585
76.0,2018,2068,-13.182199832073888
76.0,2019,1628,-21.27659574468085
76.0,2020,746,-54.17690417690417
76.0,2021,761,2.0107238605898123
76.0,2022,827,8.672798948751643
76.0,2023,624,-24.546553808948005
77.0,2006,6253,
77.0,2007,6722,7.500399808092116
77.0,2008,6792,1.0413567390657543
77.0,2009,6849,0.8392226148409895
77.0,2010,7319,6.862315666520661
77.0,2011,7300,-0.25959830577947807
77.0,2012,6414,-12.136986301369863
77.0,2013,6377,-0.5768631119426255
77.0,2014,5974,-6.319586012231457
77.0,2015,4548,-23.870103783059925
77.0,2016,4533,-0.32981530343007914
77.0,2017,4471,-1.3677476285020957
77.0,2018,3846,-13.978975620666517
77.0,2019,3116,-18.980759230369216
77.0,2020,2151,-30.969191270860076
77.0,2021,1986,-7.670850767085077
77.0,2022,2249,13.24269889224572
77.0,2023,1349,-40.01778568252557
78.0,2006,3020,
78.0,2007,2785,-7.781456953642383
78.0,2008,2744,-1.4721723518850987
78.0,2009,2836,3.3527696793002915
78.0,2010,2797,-1.3751763046544427
78.0,2011,2902,3.7540221666070788
78.0,2012,2903,0.03445899379738111
78.0,2013,2626,-9.541853255253187
78.0,2014,2579,-1.78979436405179
78.0,2015,2677,3.7999224505622333
78.0,2016,2635,-1.5689204333208817
78.0,2017,2372,-9.981024667931688
78.0,2018,1869,-21.205733558178753
78.0,2019,1405,-24.826110219368648
78.0,2020,840,-40.213523131672595
78.0,2021,1000,19.047619047619047
78.0,2022,1398,39.800000000000004
78.0,2023,986,-29.470672389127323
79.0,2006,7142,
79.0,2007,8455,18.384206104732566
79.0,2008,7674,-9.237137788290953
79.0,2009,9716,26.609330205890018
79.0,2010,8656,-10.909839440098807
79.0,2011,7965,-7.982902033271719
79.0,2012,8161,2.460765850596359
79.0,2013,8168,0.08577380223011886
79.0,2014,6988,-14.44662095984329
79.0,2015,5582,-20.12020606754436
79.0,2016,4876,-12.647796488713722
79.0,2017,4444,-8.859721082854799
79.0,2018,4085,-8.078307830783078
79.0,2019,3347,-18.066095471236228
79.0,2020,2731,-18.404541380340603
79.0,2021,2661,-2.5631636763090446
79.0,2022,2758,3.6452461480646376
79.0,2023,1594,-42.20449601160261
81.0,2006,3800,
81.0,2007,4585,20.657894736842106
81.0,2008,4615,0.6543075245365322
81.0,2009,5212,12.936078006500543
81.0,2010,5709,9.535686876438987
81.0,2011,5452,-4.501664039236294
81.0,2012,5253,-3.6500366837857663
81.0,2013,5086,-3.179135731962688
81.0,2014,4581,-9.929217459693275
81.0,2015,3684,-19.58087753765553
81.0,2016,3437,-6.704668838219327
81.0,2017,2673,-22.228687809135874
81.0,2018,2044,-23.53161242050131
81.0,2019,1838,-10.078277886497064
81.0,2020,1265,-31.17519042437432
81.0,2021,1376,8.774703557312254
81.0,2022,1815,31.90406976744186
81.0,2023,1069,-41.10192837465565
83.0,2006,7286,
83.0,2007,8160,11.995608015371946
83.0,2008,8573,5.061274509803922
83.0,2009,8521,-0.6065554648314476
83.0,2010,8616,1.114892618237296
83.0,2011,9511,10.387650882079852
83.0,2012,8607,-9.504783934391757
83.0,2013,7340,-14.720576275124897
83.0,2014,6316,-13.950953678474114
83.0,2015,4994,-20.930968967701077
83.0,2016,4309,-13.716459751702043
83.0,2017,3944,-8.470642840566258
83.0,2018,3335,-15.441176470588236
83.0,2019,2981,-10.614692653673163
83.0,2020,1984,-33.44515263334451
83.0,2021,2207,11.23991935483871
83.0,2022,2411,9.243316719528773
83.0,2023,1508,-37.45333886354209
84.0,2006,4129,
84.0,2007,4235,2.5672075563090337
84.0,2008,4384,3.518299881936245
84.0,2009,4702,7.2536496350364965
84.0,2010,4972,5.7422373458102935
84.0,2011,5221,5.00804505229284
84.0,2012,4485,-14.096916299559473
84.0,2013,4363,-2.720178372352285
84.0,2014,4548,4.240201696080678
84.0,2015,4482,-1.4511873350923483
84.0,2016,4406,-1.6956715751896476
84.0,2017,4413,0.15887426236949614
84.0,2018,3781,-14.321323362791752
84.0,2019,3173,-16.08040201005025
84.0,2020,1809,-42.98770879294043
84.0,2021,1974,9.12106135986733
84.0,2022,2937,48.78419452887538
84.0,2023,1608,-45.25025536261491
88.0,2006,2238,
88.0,2007,2189,-2.189454870420018
88.0,2008,1739,-20.55733211512106
88.0,2009,1994,14.66359976998275
88.0,2010,2105,5.566700100300903
88.0,2011,2029,-3.6104513064133017
88.0,2012,2470,21.73484475110892
88.0,2013,2277,-7.813765182186234
88.0,2014,2316,1.7127799736495388
88.0,2015,1929,-16.709844559585495
88.0,2016,2266,17.47019180922758
88.0,2017,1600,-29.3909973521624
88.0,2018,1057,-33.9375
88.0,2019,956,-9.555345316934721
88.0,2020,744,-22.17573221757322
88.0,2021,619,-16.801075268817204
88.0,2022,1123,81.421647819063
88.0,2023,780,-30.543187889581482
90.0,2006,4042,
90.0,2007,3801,-5.962394854032657
90.0,2008,4398,15.706393054459353
90.0,2009,4284,-2.592087312414734
90.0,2010,4124,-3.734827264239029
90.0,2011,4742,14.98545101842871
90.0,2012,4229,-10.818220160269929
90.0,2013,4629,9.458500827618822
90.0,2014,3993,-13.739468567725211
90.0,2015,3689,-7.6133233158026545
90.0,2016,3538,-4.093250203307129
90.0,2017,3325,-6.020350480497457
90.0,2018,2552,-23.24812030075188
90.0,2019,2472,-3.1347962382445136
90.0,2020,1474,-40.372168284789645
90.0,2021,1696,15.061058344640434
90.0,2022,2253,32.84198113207547
90.0,2023,1213,-46.16067465601421
94.0,2006,1571,
94.0,2007,1485,-5.47422024188415
94.0,2008,1521,2.4242424242424243
94.0,2009,1712,12.557527942143325
94.0,2010,1961,14.544392523364486
94.0,2011,1742,-11.167771545130035
94.0,2012,1905,9.357060849598163
94.0,2013,2107,10.603674540682414
94.0,2014,1817,-13.763644992880874
94.0,2015,1480,-18.547055586130984
94.0,2016,1502,1.4864864864864866
94.0,2017,1728,15.046604527296935
94.0,2018,1419,-17.881944444444446
94.0,2019,1011,-28.752642706131077
94.0,2020,649,-35.80613254203759
94.0,2021,1017,56.70261941448382
94.0,2022,1380,35.693215339233035
94.0,2023,742,-46.231884057971016
100.0,2006,1676,
100.0,2007,1782,6.324582338902148
100.0,2008,1959,9.932659932659933
100.0,2009,2072,5.768249106687085
100.0,2010,2124,2.5096525096525095
100.0,2011,2078,-2.1657250470809792
100.0,2012,1874,-9.817131857555342
100.0,2013,1835,-2.08110992529349
100.0,2014,2296,25.122615803814714
100.0,2015,2035,-11.36759581881533
100.0,2016,2057,1.0810810810810811
100.0,2017,1843,-10.403500243072436
100.0,2018,1587,-13.8903960933261
100.0,2019,1385,-12.728418399495906
100.0,2020,908,-34.44043321299639
100.0,2021,841,-7.3788546255506615
100.0,2022,996,18.430439952437574
100.0,2023,574,-42.369477911646584
101.0,2006,3364,
101.0,2007,3648,8.442330558858501
101.0,2008,3815,4.577850877192982
101.0,2009,3706,-2.857142857142857
101.0,2010,3734,0.7555315704263357
101.0,2011,3471,-7.043385109801821
101.0,2012,3307,-4.724863151829444
101.0,2013,3418,3.356516480193529
101.0,2014,4318,26.331187829139846
101.0,2015,3255,-24.617878647522
101.0,2016,2911,-10.568356374807989
101.0,2017,2733,-6.114737203710066
101.0,2018,2666,-2.451518477863154
101.0,2019,2107,-20.967741935483872
101.0,2020,1533,-27.242524916943523
101.0,2021,1475,-3.7834311806914545
101.0,2022,1575,6.779661016949152
101.0,2023,870,-44.761904761904766
102.0,2006,4037,
102.0,2007,4689,16.15060688630171
102.0,2008,5022,7.1017274472168905
102.0,2009,4599,-8.422939068100359
102.0,2010,4781,3.95738203957382
102.0,2011,4316,-9.72599874503242
102.0,2012,4290,-0.6024096385542169
102.0,2013,4819,12.331002331002331
102.0,2014,4193,-12.990246939199004
102.0,2015,3965,-5.437634152158359
102.0,2016,4457,12.408575031525851
102.0,2017,4286,-3.8366614314561365
102.0,2018,3569,-16.728884741017268
102.0,2019,2857,-19.94956570467918
102.0,2020,1961,-31.361568078403916
102.0,2021,2245,14.482406935237124
102.0,2022,2530,12.694877505567929
102.0,2023,1577,-37.66798418972332
103.0,2006,6636,
103.0,2007,7107,7.097649186256781
103.0,2008,7854,10.510764035458
103.0,2009,8163,3.9343009931245225
103.0,2010,8401,2.9155947568295972
103.0,2011,8416,0.17855017259850017
103.0,2012,8496,0.9505703422053232
103.0,2013,9426,10.94632768361582
103.0,2014,9468,0.4455760661998727
103.0,2015,8711,-7.995352767215885
103.0,2016,6278,-27.930203191367237
103.0,2017,4886,-22.172666454284805
103.0,2018,4137,-15.329512893982807
103.0,2019,4044,-2.2480058013052937
103.0,2020,2951,-27.02769535113749
103.0,2021,3203,8.539478143002372
103.0,2022,4200,31.127068373399936
103.0,2023,2998,-28.61904761904762
104.0,2006,4156,
104.0,2007,3695,-11.092396535129932
104.0,2008,3957,7.090663058186738
104.0,2009,4525,14.354308819812989
104.0,2010,5211,15.160220994475138
104.0,2011,4976,-4.509691038188447
104.0,2012,4716,-5.22508038585209
104.0,2013,4660,-1.1874469889737065
104.0,2014,4549,-2.3819742489270386
104.0,2015,3679,-19.125082435700154
104.0,2016,3113,-15.384615384615385
104.0,2017,3051,-1.9916479280436876
104.0,2018,2697,-11.60275319567355
104.0,2019,2266,-15.980719317760474
104.0,2020,1917,-15.401588702559577
104.0,2021,1906,-0.5738132498695879
104.0,2022,1937,1.6264428121720882
104.0,2023,1010,-47.857511615900876
105.0,2006,4910,
105.0,2007,4404,-10.30549898167006
105.0,2008,3890,-11.671207992733878
105.0,2009,4471,14.935732647814909
105.0,2010,4487,0.3578617758890628
105.0,2011,4525,0.8468910184978827
105.0,2012,4447,-1.723756906077348
105.0,2013,5040,13.334832471328987
105.0,2014,4921,-2.361111111111111
105.0,2015,3884,-21.07295265190002
105.0,2016,3768,-2.9866117404737382
105.0,2017,3863,2.521231422505308
105.0,2018,3186,-17.525239451203728
105.0,2019,2688,-15.630885122410545
105.0,2020,2074,-22.842261904761905
105.0,2021,2115,1.9768563162970105
105.0,2022,2676,26.52482269503546
105.0,2023,1869,-30.15695067264574
106.0,2006,3130,
106.0,2007,3677,17.47603833865815
106.0,2008,3243,-11.803100353549087
106.0,2009,3413,5.242059821153253
106.0,2010,3395,-0.527395253442719
106.0,2011,3404,0.2650957290132548
106.0,2012,3662,7.579318448883667
106.0,2013,4198,14.636810486073184
106.0,2014,3562,-15.15007146260124
106.0,2015,3273,-8.11341942728804
106.0,2016,3282,0.27497708524289644
106.0,2017,2856,-12.979890310786105
106.0,2018,2737,-4.166666666666666
106.0,2019,2405,-12.130069419071976
106.0,2020,1719,-28.523908523908524
106.0,2021,1901,10.587550901687028
106.0,2022,2352,23.72435560231457
106.0,2023,1447,-38.47789115646258
107.0,2006,3633,
107.0,2007,3153,-13.212221304706853
107.0,2008,3241,2.7909927053599746
107.0,2009,3510,8.29990743597655
107.0,2010,3508,-0.056980056980056974
107.0,2011,3018,-13.968072976054732
107.0,2012,3308,9.609012591119948
107.0,2013,3670,10.943168077388151
107.0,2014,3661,-0.2452316076294278
107.0,2015,3121,-14.750068287353182
107.0,2016,2961,-5.12656199935918
107.0,2017,3293,11.21242823370483
107.0,2018,2409,-26.844822350440328
107.0,2019,2083,-13.532586135325861
107.0,2020,1410,-32.30916946711474
107.0,2021,1693,20.070921985815605
107.0,2022,2048,20.968694624926165
107.0,2023,1129,-44.873046875
108.0,2006,3272,
108.0,2007,3440,5.134474327628362
108.0,2008,2986,-13.197674418604652
108.0,2009,2756,-7.702612190221031
108.0,2010,2977,8.018867924528301
108.0,2011,2907,-2.35136042996305
108.0,2012,2250,-22.60061919504644
108.0,2013,2914,29.51111111111111
108.0,2014,2778,-4.667124227865477
108.0,2015,2384,-14.18286537077034
108.0,2016,2018,-15.35234899328859
108.0,2017,2172,7.631318136769079
108.0,2018,1912,-11.970534069981584
108.0,2019,1776,-7.112970711297072
108.0,2020,1006,-43.35585585585586
108.0,2021,1539,52.98210735586481
108.0,2022,2000,29.9545159194282
108.0,2023,1080,-46.0
109.0,2006,5202,
109.0,2007,4836,-7.035755478662054
109.0,2008,4688,-3.0603804797353185
109.0,2009,4848,3.4129692832764507
109.0,2010,4791,-1.1757425742574257
109.0,2011,5484,14.464621164683782
109.0,2012,5232,-4.595185995623632
109.0,2013,5323,1.7392966360856268
109.0,2014,5026,-5.579560398271651
109.0,2015,4495,-10.565061679267808
109.0,2016,4266,-5.0945494994438265
109.0,2017,4087,-4.195968120018753
109.0,2018,3997,-2.202104232933692
109.0,2019,3510,-12.184138103577684
109.0,2020,2239,-36.21082621082621
109.0,2021,2522,12.639571237159448
109.0,2022,3448,36.71689135606661
109.0,2023,2177,-36.861948955916475
110.0,2006,5426,
110.0,2007,5891,8.569848875783267
110.0,2008,5603,-4.8888134442369715
110.0,2009,5323,-4.997322862752098
110.0,2010,5492,3.174901371407101
110.0,2011,4988,-9.176984705025491
110.0,2012,4748,-4.811547714514836
110.0,2013,4926,3.748946925021061
110.0,2014,4887,-0.7917174177831912
110.0,2015,4873,-0.2864743196234909
110.0,2016,3989,-18.14077570285245
110.0,2017,3360,-15.768362998245175
110.0,2018,3401,1.2202380952380953
110.0,2019,3053,-10.23228462216995
110.0,2020,2075,-32.03406485424173
110.0,2021,2292,10.457831325301205
110.0,2022,3140,36.99825479930192
110.0,2023,2013,-35.89171974522293
111.0,2006,1946,
111.0,2007,1830,-5.960945529290853
111.0,2008,1851,1.1475409836065573
111.0,2009,1848,-0.1620745542949757
111.0,2010,1801,-2.5432900432900434
111.0,2011,1559,-13.436979455857855
111.0,2012,1614,3.527902501603592
111.0,2013,1660,2.8500619578686495
111.0,2014,1434,-13.614457831325302
111.0,2015,1476,2.928870292887029
111.0,2016,1584,7.317073170731707
111.0,2017,1409,-11.047979797979798
111.0,2018,1054,-25.195173882185944
111.0,2019,952,-9.67741935483871
111.0,2020,580,-39.075630252100844
111.0,2021,700,20.689655172413794
111.0,2022,733,4.714285714285714
111.0,2023,453,-38.199181446111865
112.0,2006,2341,
112.0,2007,2304,-1.5805211448099103
112.0,2008,2235,-2.994791666666667
112.0,2009,2541,13.691275167785236
112.0,2010,2488,-2.085792994883904
112.0,2011,2414,-2.97427652733119
112.0,2012,2507,3.852526926263463
112.0,2013,2614,4.268049461507778
112.0,2014,2555,-2.2570772762050497
112.0,2015,2166,-15.22504892367906
112.0,2016,1849,-14.635272391505078
112.0,2017,1493,-19.253650621957817
112.0,2018,1551,3.884795713328868
112.0,2019,1610,3.8039974210186975
112.0,2020,1033,-35.838509316770185
112.0,2021,1350,30.68731848983543
112.0,2022,1535,13.703703703703704
112.0,2023,750,-51.14006514657981
113.0,2006,5539,
113.0,2007,6261,13.034843834627189
113.0,2008,6296,0.5590161316083693
113.0,2009,7248,15.120711562897077
113.0,2010,5824,-19.646799116997794
113.0,2011,5764,-1.0302197802197801
113.0,2012,6840,18.667591950034698
113.0,2013,7924,15.84795321637427
113.0,2014,8539,7.761231701161029
113.0,2015,6929,-18.854666822812977
113.0,2016,6649,-4.040987155433685
113.0,2017,5963,-10.317340953526847
113.0,2018,6112,2.4987422438369946
113.0,2019,5943,-2.7650523560209423
113.0,2020,3281,-44.79219249537271
113.0,2021,3210,-2.1639743980493753
113.0,2022,3588,11.775700934579438
113.0,2023,2379,-33.69565217391305
114.0,2006,6650,
114.0,2007,7644,14.947368421052632
114.0,2008,6293,-17.673992673992675
114.0,2009,6198,-1.509613856666137
114.0,2010,5751,-7.212003872216845
114.0,2011,5503,-4.312293514171448
114.0,2012,5454,-0.890423405415228
114.0,2013,5855,7.352401906857351
114.0,2014,6015,2.7327070879590094
114.0,2015,5308,-11.75394846217789
114.0,2016,5783,8.948756593820647
114.0,2017,5278,-8.732491786270103
114.0,2018,4300,-18.529746115953014
114.0,2019,3587,-16.581395348837212
114.0,2020,2664,-25.731809311402287
114.0,2021,3464,30.03003003003003
114.0,2022,3851,11.172055427251733
114.0,2023,1819,-52.76551545053233
115.0,2006,8484,
115.0,2007,9163,8.003300330033003
115.0,2008,9365,2.2045181709047257
115.0,2009,10486,11.970101441537642
115.0,2010,9332,-11.005149723440779
115.0,2011,8331,-10.726532361765967
115.0,2012,7560,-9.254591285559957
115.0,2013,7935,4.9603174603174605
115.0,2014,7920,-0.1890359168241966
115.0,2015,6354,-19.772727272727273
115.0,2016,5557,-12.54327982373308
115.0,2017,5244,-5.632535540759402
115.0,2018,4680,-10.755148741418765
115.0,2019,4361,-6.816239316239316
115.0,2020,2681,-38.52327447833066
115.0,2021,2627,-2.0141738157403952
115.0,2022,2897,10.277883517320136
115.0,2023,1737,-40.04142216085606
120.0,2006,5283,
120.0,2007,5650,6.9468105243233005
120.0,2008,6613,17.04424778761062
120.0,2009,6127,-7.3491607439891125
120.0,2010,6410,4.618899951036396
120.0,2011,6135,-4.290171606864274
120.0,2012,5789,-5.639771801140994
120.0,2013,5060,-12.592848505786838
120.0,2014,4532,-10.434782608695652
120.0,2015,3959,-12.64342453662842
120.0,2016,4835,22.126799696893155
120.0,2017,4733,-2.1096173733195447
120.0,2018,4593,-2.957954785548278
120.0,2019,3720,-19.007184846505552
120.0,2020,2381,-35.994623655913976
120.0,2021,2911,22.25955480890382
120.0,2022,3731,28.169014084507044
120.0,2023,2345,-37.148217636022515
121.0,2006,2952,
121.0,2007,2900,-1.7615176151761516
121.0,2008,3626,25.03448275862069
121.0,2009,3540,-2.3717595146166577
121.0,2010,3540,0.0
121.0,2011,3499,-1.1581920903954803
121.0,2012,3018,-13.746784795655904
121.0,2013,3651,20.974155069582505
121.0,2014,4920,34.757600657354146
121.0,2015,3801,-22.743902439024392
121.0,2016,3786,-0.3946329913180742
121.0,2017,3083,-18.568409931325938
121.0,2018,2640,-14.369120986052547
121.0,2019,2536,-3.939393939393939
121.0,2020,1892,-25.39432176656151
121.0,2021,2191,15.803382663847781
121.0,2022,2290,4.518484710178001
121.0,2023,1189,-48.07860262008734
122.0,2006,3021,
122.0,2007,2743,-9.202250910294604
122.0,2008,3349,22.092599343784176
122.0,2009,2813,-16.00477754553598
122.0,2010,2833,0.7109847138286527
122.0,2011,2914,2.8591599011648428
122.0,2012,2841,-2.5051475634866165
122.0,2013,2539,-10.630059838085181
122.0,2014,2287,-9.925167388735723
122.0,2015,1934,-15.435067774376913
122.0,2016,2208,14.167528438469493
122.0,2017,1976,-10.507246376811594
122.0,2018,1973,-0.15182186234817813
122.0,2019,1805,-8.514951849974658
122.0,2020,1209,-33.01939058171745
122.0,2021,1314,8.6848635235732
122.0,2022,1391,5.859969558599695
122.0,2023,795,-42.846872753414814
123.0,2006,1150,
123.0,2007,1118,-2.782608695652174
123.0,2008,1415,26.565295169946335
123.0,2009,1493,5.512367491166078
123.0,2010,1478,-1.0046885465505693
123.0,2011,1477,-0.06765899864682003
123.0,2012,1371,-7.176709546377793
123.0,2013,1471,7.293946024799417
123.0,2014,1538,4.554724677090414
123.0,2015,1424,-7.412223667100131
123.0,2016,1515,6.390449438202247
123.0,2017,1586,4.686468646864687
123.0,2018,1218,-23.203026481715007
123.0,2019,971,-20.279146141215108
123.0,2020,713,-26.570545829042224
123.0,2021,795,11.50070126227209
123.0,2022,963,21.132075471698116
123.0,2023,557,-42.15991692627207
